rank,count,english,russian
261,14041,old,Старый
262,13843,looking,смотрящий
263,13734,woman,женщина
264,13655,hello,Привет
265,13652,which,который
266,13526,years,годы
267,13467,room,комната
268,13456,money,Деньги
269,13428,left,левый
270,13357,knew,знал
271,13305,tonight,сегодня ночью
272,13161,real,настоящий
273,13131,son,сын
274,13093,hope,надеяться
275,13044,name,название
276,13024,same,такой же
277,12892,went,пошли
278,12883,um,ума
279,12819,hmm,Хм
280,12788,happy,счастливый
281,12746,pretty,красивая
282,12707,saw,пила
283,12641,girl,девочка
284,12557,sir,сэр
285,12392,show,показать
286,12245,friend,друг
287,12233,already,уже
288,12204,saying,говорить
289,12199,may,май
290,12147,next,следующий
291,12088,three,три
292,12047,job,работа
293,11931,problem,проблема
294,11903,minute,минута
295,11875,found,найденный
296,11754,world,Мир
297,11721,thinking,думать
298,11699,haven't,не
299,11692,heard,слышал
300,11659,honey,медовый
301,11578,matter,иметь значение
302,11559,myself,себя
303,11550,couldn't,не могло
304,11502,exactly,точно
305,11481,having,имеющийся
306,11347,ah,ах
307,11332,probably,вероятно
308,11273,happen,случаться
309,11200,we've,Мы
310,11145,hurt,повредить
311,11050,boy,мальчик
312,11035,both,оба
313,11006,while,пока
314,11002,dead,мертвых
315,11000,gotta,добраться
316,10813,alone,в одиночестве
317,10757,since,поскольку
318,10747,excuse,извинение
319,10704,start,Начало
320,10676,kill,убийство
321,10608,hard,жесткий
322,10577,you'd,Вы бы
323,10561,today,сегодня
324,10485,car,машина
325,10461,ready,готовы
326,10432,until,до тех пор
327,10421,without,без
328,10363,whatever,что бы ни
329,10269,wants,хочет
330,10254,hold,держать
331,10250,wanna,хочу
332,10225,yet,все же
333,10192,seen,видимый
334,10143,deal,иметь дело
335,10083,took,взял
336,9931,once,однажды
337,9877,gone,ушел
338,9871,called,называется
339,9823,morning,утро
340,9818,supposed,предполагаемый
341,9814,friends,друзья
342,9794,head,голова
343,9709,stuff,вещи
344,9699,most,самый
345,9623,used,использовал
346,9620,worry,волноваться
347,9605,second,второй
348,9518,part,часть
349,9507,live,жить
350,9470,truth,правда
351,9443,school,школа
352,9441,face,лицо
353,9322,forget,забывать
355,9295,business,бизнес
356,9277,each,каждый
357,9277,cause,причина
358,9261,soon,скоро
359,9217,knows,знать
360,9164,few,мало
361,9129,telling,рассказывать
362,9125,wife,жена
363,9109,who's,кто
364,9096,use,использовать
365,9081,chance,шанс
366,9076,run,запустить
367,9073,move,двигаться
368,9050,anyone,любой
369,8997,person,человек
370,8969,bye,до свидания
372,8923,somebody,кто-то
374,8824,heart,сердце
375,8813,such,такой
376,8806,miss,скучать
377,8798,married,женатый
378,8707,point,точка
379,8636,later,потом
380,8623,making,изготовление
381,8608,meet,встретиться
382,8517,anyway,в любом случае
383,8504,many,многие
384,8424,phone,Телефон
385,8395,reason,причина
386,8367,damn,проклятие
387,8348,lost,потерянный
388,8337,looks,внешность
389,8320,bring,приносить
390,8287,case,дело
391,8264,turn,повернуть
392,8262,wish,желание
393,8254,tomorrow,завтра
394,8247,kids,Дети
395,8187,trust,доверять
396,8185,check,чек об оплате
397,8176,change,изменять
398,8171,end,конец
399,8164,late,поздно
400,8160,anymore,больше
401,8137,five,5
402,8119,least,наименее
403,8099,town,городок
404,8065,aren't,нет
405,8033,ha,хаума
406,8016,working,работающий
407,8013,year,год
408,8001,makes,вычислять
409,7996,taking,взять
410,7980,means,означает
411,7952,brother,брат
412,7883,play,играть
413,7839,hate,ненавидеть
414,7836,ago,тому назад
415,7821,says,говорит
416,7813,beautiful,красивая
417,7759,gave,отдал
418,7654,fact,факт
419,7650,crazy,псих
420,7633,party,партия
421,7625,sit,сидеть
422,7598,open,открыто
423,7587,afraid,боятся
424,7585,between,между
425,7582,important,важный
426,7417,rest,остальные
427,7404,fun,веселье
428,7380,kid,ребенок
429,7355,word,слово
430,7310,watch,смотреть
431,7277,glad,довольный
432,7214,everyone,каждый
433,7213,days,дни
434,7188,sister,сестра
435,7185,minutes,минут
436,7163,everybody,все
437,7158,bit,немного
438,7150,couple,пара
439,7081,whoa,варья
440,7075,either,или
442,7058,feeling,чувство
443,7057,daughter,дочь
444,7036,wow,Вот это да
445,7023,gets,получает
446,7009,asked,спросил
447,6999,under,под
448,6941,break,сломать
449,6926,promise,обещать
450,6907,door,дверь
451,6878,set,задавать
452,6877,close,Закрыть
453,6872,hand,рука
454,6848,easy,легко
455,6841,question,вопрос
456,6841,doctor,доктор
457,6830,tried,пытался
458,6728,far,далеко
459,6619,walk,ходить
460,6555,needs,потребности
461,6510,trouble,беда
462,6503,mine,мой
463,6502,though,хоть
464,6475,times,времена
465,6464,different,разные
466,6390,killed,погибший
467,6378,hospital,больница
468,6376,anybody,никто
470,6348,alright,хорошо
471,6334,wedding,свадьба
472,6294,shut,закрыть
473,6289,able,способный
474,6280,die,умереть
475,6276,perfect,Отлично
476,6260,police,полиция
477,6257,stand,стоять
478,6256,comes,поставляется
479,6248,hit,ударить
480,6231,story,история
481,"6212 (see also you, yeah)",ya,Я.
482,6192 (see also mmm),mm,мм
483,6132,waiting,ожидающий
484,6099,dinner,ужин
485,6064,against,против
486,6054,funny,веселая
487,6038,husband,муж
488,6037,almost,почти
489,6020,stupid,тупой
490,6016,pay,платить
491,6016,answer,отвечать
492,6014,four,четыре
493,5955,office,офис
494,5954,cool,здорово
495,5950,eyes,глаза
496,5936,news,Новости
497,5913,child,ребенок
498,5874,shouldn't,не должен
499,5819,half,половина
500,5813,side,боковая сторона
501,5805,yours,ваша
502,5770,moment,момент
503,5747,sleep,спать
504,5743,read,читать
505,5711,where's,где
506,5707,started,начал
507,5680,young,молодой
508,5678,men,мужчины
509,5665,sounds,звуки
511,5631,lucky,счастливый
512,5610,pick,выбирать
513,5596,sometimes,иногда
514,5590,em,Эм
515,5589,bed,кровать
516,5583,also,также
517,5581,date,Дата
518,5564,line,линия
519,5557,plan,план
520,5503,hours,часы
521,5459,lose,терять
522,5452,fire,Пожар
523,5433,free,бесплатно
524,5428,hands,Руки
525,5390,serious,серьезный
527,5388,shit,дерьмо
528,5388,behind,позади
529,5379,inside,внутри
530,5377,high,высокая
531,5364,ahead,предстоящий
532,5356,week,неделя
533,5341,wonderful,замечательный
535,5326,fight,борьба
536,5315,past,мимо
537,5305,cut,резать
538,5304,quite,довольно
539,5289,number,номер
540,5262,he'll,ад
541,5256,sick,больной
543,5217,it'll,это
544,5212,game,игра
545,5202,eat,есть
546,5195,nobody,никто
547,5194,goes,идет
548,5165,death,смерть
549,5147,along,вдоль
550,5144,save,спасти
551,5138,seems,кажется
552,5118,finally,Ну наконец то
553,5095,lives,жизни
554,5066,worried,волновался
555,5064,upset,расстроена
559,5032,met,встретил
560,5027,book,книга
561,5010,brought,привел
562,5001,seem,казаться
563,5000,sort,Сортировать
564,4999,safe,безопасно
565,4999,living,жизнь
566,4944,children,дети
567,4896,weren't,не было
568,4889,leaving,уход
569,4868,front,фронт
570,4866,shot,выстрелил
571,4851,loved,любимый
572,4851,asking,спрашивать
573,4842,running,Бег
574,4836,clear,Очистить
575,4785,figure,фигура
576,4777,hot,горячий
577,4748,felt,чувствовал себя
578,4737,six,шесть
579,4725,parents,родители
580,4706,drink,напиток
581,4704,absolutely,абсолютно
582,4652,how's,Как
583,4641,daddy,папочка
584,4628,sweet,милая
585,4628,alive,в живых
587,4597,sense,смысл
588,4596,meant,имел ввиду
589,4589,happens,случается
591,4573,special,особый
592,4548,bet,ставка
593,4542,blood,кровь
594,4541,ain't,нет
595,4539,kidding,шутя
596,4536,lie,ложь
597,4533,full,полный
598,4532,meeting,встреча
599,4516,dear,Уважаемый
600,4499,coffee,кофе
601,4495,seeing,видя
602,4488,sound,звук
603,4484,fault,вина
604,4469,water,вода
605,4453,fuck,Блядь
606,4448,ten,10
607,4441,women,женщины
609,4373,welcome,Добро пожаловать
610,4345,buy,купить
611,4333,months,месяцы
612,4325,hour,час
613,4322,speak,говорить
614,4301,lady,леди
616,4298,thinks,думать
618,4271,body,тело
619,4270,order,порядок
620,4260,outside,за пределами
621,4243,hang,вешать
622,4228,possible,возможно
623,4218,worse,хуже
624,4209,company,Компания
625,4185,mistake,ошибка
626,4184,ooh,ООН
627,4181,handle,справиться
628,4175,spend,проводить
630,4157,totally,полностью
631,4143,giving,отдавать
632,4134,control,контроль
633,4130,here's,Вот
634,4129,marriage,брак
635,4114,realize,понимать
637,4094,power,мощность
638,4086,president,президент
639,4078,unless,пока не
640,4049,sex,секс
641,4048,girls,девушки
642,4045,send,Отправить
643,4043,needed,нужный
645,3997,taken,взятый
646,3996,died,умерла
647,3991,scared,напугана
648,3984,picture,картина
649,3975,talked,говорили
652,3947,ass,жопа
653,3942,hundred,сотня
654,3929,changed,измененный
655,3919,completely,полностью
656,3913,explain,объяснять
657,3899,playing,воспроизведение
658,3895,certainly,конечно
659,3890,sign,знак
660,3888,boys,мальчики
661,3880,relationship,отношение
662,3878,Michael,Майкл
663,3876,loves,любить
664,3843,fucking,чертовски
665,3839,hair,волосы
666,3837,lying,врущий
667,3828,choice,выбор
668,3821,anywhere,где угодно
669,3810,secret,секретарь
670,3798,future,будущее
671,3797,weird,странный
672,3792,luck,удача
673,3780,she'll,оболочка
676,3770,turned,повернувшийся
677,3757,known,известный
678,3755,touch,трогать
679,3750,kiss,целовать
680,3744,crane,кран
681,3741,questions,вопросов
682,3741,obviously,очевидно
683,3735,wonder,удивляться
684,3720,pain,боль
685,3714,calling,призыв
686,3707,somewhere,где-то
687,3697,throw,бросать
688,3695,straight,прямой
689,3693,grace,благодать
690,3690,cold,холодный
691,3665,white,белый
692,3661,fast,быстрый
694,3647,words,слова
696,3632,food,еда
697,3615,none,никто
698,3607,drive,привод
699,3603,feelings,чувства
700,3593,they'll,они
701,3577,worked,работал
702,3564,marry,выходит замуж
703,3554,light,свет
704,3547,test,контрольная работа
705,3546,drop,уронить
706,3537,cannot,не можешь
708,3524,sent,послал
709,3515,city,город
710,3471,dream,мечтать
711,3465,protect,защищать
712,3463,twenty,двадцать
713,3458,class,учебный класс
715,3439,surprise,сюрприз
716,3439,its,это
717,3434,sweetheart,дорогой
718,3432,forever,навсегда
719,3431,poor,бедные
720,3431,looked,смотрел
721,3407,mad,без ума
722,3406,except,Кроме
723,3396,gun,пистолет
724,3395,y'know,y'know.
725,3394,dance,танцевать
726,3386,takes,занимает
727,3379,appreciate,ценить
728,3376,especially,особенно
729,3359,situation,ситуация
730,3355,besides,Кроме того
731,3350,weeks,недели
732,3340,pull,тянуть
733,3331,himself,сам
734,3318,hasn't,не имеет
735,3307,act,действовать
736,3303,worth,стоящий
738,3294,amazing,удивительный
739,3283,top,вершина
740,3283,given,данный
741,3277,expect,ожидать
743,3241,rather,скорее
745,3240,involved,вовлеченный
746,3239,swear,клянусь
747,3239,piece,кусок
748,3229,busy,занятый
749,3225,law,закон
750,3224,decided,решил
751,3217,black,чернить
753,3210,happening,происходит
754,3209,movie,фильм
755,3205,we'd,мы б
756,3194,catch,поймать
758,3187,country,страна
759,3173,less,меньше
760,3165,perhaps,возможно
761,3161,step,шаг
762,3157,fall,падение
763,3152,watching,watching
764,3152,kept,хранить
765,3146,darling,дорогой
766,3141,dog,собака
768,3126,win,выиграть
769,3126,air,воздуха
770,3106,honor,честь
771,3103,personal,личный
772,3102,moving,движущийся
773,3091,till,пока
774,3091,admit,признаться
775,3090,problems,проблемы
776,3089,murder,убийство
777,3088,strong,сильный
778,3087,he'd,он
779,3078,evil,зло
780,3068,definitely,определенно
781,3067,feels,чувствителен
782,3063,information,Информация
783,3063,honest,честный
784,3063,eye,глаз
785,3044,broke,сломанный
786,3043,missed,пропущенный
787,3043,longer,дольше
788,3042,dollars,доллары
789,3029,tired,устала
792,2998,evening,вечер
793,2986,human,человек
794,2984,starting,запуск
796,2976,red,красный
797,2976,entire,весь
798,2975,trip,поездка
801,2963,club,клуб
803,2952,suppose,предполагать
804,2948,calm,спокойствие
805,2946,imagine,представить
807,2941,fair,Справедливая
808,2933,caught,пойманный
810,2923,blame,обвинять
811,2920,street,улица
812,2920,sitting,сидячий
813,2920,favor,услуга
814,2920,apartment,квартира
815,2919,court,корт
816,2914,terrible,ужасный
817,2914,clean,чистый
818,2913,tony,Тони
819,2912,learn,учить
822,2903,works,работает
823,2890,rose,Роза
825,2877,relax,расслабляться
827,2873,million,миллион
828,2865,charity,благотворительная деятельность
829,2860,accident,несчастный случай
830,2857,wake,будить
831,2852,prove,доказывать
833,2847,smart,умная
834,2846,message,сообщение
835,2845,missing,отсутствующий
836,2845,forgot,забыл
837,2843,small,небольшой
838,2838,interested,заинтересовать
839,2835,table,Таблица
841,2816,become,стать
843,2807,mouth,рот
844,2805,pregnant,беременная
845,2802,middle,середина
846,2797,billy,Билли
847,2786,ring,звенеть
848,2785,careful,осторожный
849,2779,shall,должен
850,2775,dude,чувак
851,2773,team,команда
852,2768,ride,поездка
853,2766,figured,фигурный
854,2765,wear,носить
855,2759,shoot,стрелять
856,2753,stick,палка
857,2752,ray,рентген
858,2752,follow,следить
860,2747,angry,сердитый
861,2744,instead,вместо
862,2743,buddy,приятель
863,2741,write,написать
864,2719,stopped,остановился
865,2719,early,рано
866,2701,angel,ангел
868,2692,ran,победа
869,2690,war,война
870,2690,standing,стоянок
871,2690,forgive,простить
872,2684,jail,тюрьма
873,2678,wearing,носить
875,2670,ladies,дамы
876,2662,kinda,своего рода
877,2660,lunch,обед
879,2655,eight,восемь
881,2640,gotten,утомительный
882,2639,hoping,надеяться
884,2633,thousand,тысяча
885,2633,ridge,хребет
886,2631,music,Музыка
888,2607,paper,бумага
889,2606,tough,жесткий
890,2605,tape,Лента
892,2592,state,штат
893,2589,count,считать
894,2589,college,колледж
895,2589,boyfriend,дружок
896,2586,proud,гордый
897,2584,agree,соглашаться
898,2580,birthday,день рождения
899,2572,bill,законопроект
900,2569,seven,Семь
901,2566,they've,они
903,2564,history,история
904,2563,share,доля
905,2563,offer,предложение
906,2559,hurry,торопиться
907,2557,ow,задолженность
908,2555,feet,ноги
909,2549,wondering,интересный
910,2549,simple,просто
911,2548,decision,решение
912,2546,building,строительство
913,2539,ones,теми
914,2535,finish,финиш
915,2530,voice,голос
916,2530,herself,саму себя
918,2523,would've,бы
919,2518,list,список
921,2516,mess,беспорядок
922,2516,deserve,заслуживать
923,2514,evidence,доказательство
924,2504,cute,милый
926,2501,dress,платье
928,2497,interesting,интересный
931,2463,hotel,отель
932,2463,enjoy,наслаждаться
935,2454,quiet,тихий
936,2452,concerned,обеспокоенный
937,2448,road,Дорога
938,2445,eve,канун
939,2443,staying,пребывание
940,2440,short,короткая
942,2440,beat,бить
943,2439,sweetie,милая
944,2434,mention,упомянуть
945,2434,clothes,одежда
946,2423,finished,законченный
947,2419,fell,упал
948,2417,neither,ни один
950,2414,fix,исправить
952,2410,respect,уважать
953,2406,spent,потраченный
954,2401,prison,тюрьма
955,2397,attention,внимание
956,2394,holding,держа
957,2389,calls,вызовы
958,2386,near,около
959,2381,surprised,удивлен
960,2376,bar,бар
962,2374,pass,проходить
963,2371,keeping,удержание
964,2371,gift,подарок
965,2369,hadn't,не было
966,2366,putting,посадка
967,2361,dark,темный
968,2358,self,себя
969,2354,owe,быть должным
970,2345,using,с использованием
972,2345,ice,лед
973,2342,helping,помощь
974,2341,bitch,сука
975,2339,normal,нормальный
976,2339,aunt,тетя
977,2338,lawyer,адвокат
978,2336,apart,раздельно
979,2333,certain,определенный
980,2327,plans,планы
982,2325,girlfriend,Подруга
983,2325,floor,пол
984,2316,whether,будь то
985,2316,everything's,все
986,2313,present,настоящее время
987,2312,earth,земля
988,2311,private,частный
990,2304,box,коробка
992,2298,cover,обложка
993,2294,judge,судить
994,2293,upstairs,вверх по лестнице
997,2281,sake,сакэ
998,2281,mommy,мама
999,2280,possibly,возможно
1000,2276,worst,наихудший
